category_id,product_name,image_path,status,source_url,note
CAT008,Màng bọc thực phẩm Ringo 30cm x 30m,products/mang_boc_thuc_pham_ringo_30cm_x_30m.png,DOWNLOADED,https://www.bachhoaxanh.com/mang-boc-thuc-pham-tui-zipper/mang-boc-thuc-pham-pe-ringo-30cm-x-30m,"score=146; query=""Màng bọc thực phẩm Ringo 30cm x 30m"" ảnh sản phẩm; title=Màng bọc thực phẩm Ringo 30cmx30m giá tốt tại Bách hoá XANH; reasons=+token:mang;+token:boc;+token:ringo;+token:30cm;+token:30m;+brand:mang;+brand:boc;+brand:ringo;+trusted:bachhoaxanh.com;+high_token_ratio"
CAT008,Hộp nhựa Lock Lock 1L,products/hop_nhua_lock_lock_1l.png,DOWNLOADED,https://thuongxabep.com/products/bo-3-hop-lock-lock-1-hop-1l-2-hop-350ml,"score=91; query=""Hộp nhựa Lock Lock 1L"" ảnh sản phẩm; title=Hộp nhựa 1000ml Lock&LockBộ 3 Hộp Lock&Lock (1 Hộp 1L, 2 Hộp 350ml ...; reasons=+token:nhua;+token:lock;+brand:nhua;+brand:lock;+trusted:product.hstatic.net;+mid_token_ratio"
CAT008,Giấy bạc nướng thực phẩm 30cm x 5m,products/giay_bac_nuong_thuc_pham_30cm_x_5m.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT008,Ly giấy dùng một lần 50 cái,products/ly_giay_dung_mot_lan_50_cai.png,REJECT,https://tecki.vn/p1.177926321.21069746282-set-50-coc-giay-ly-giay-250ml-chiu-nhiet-dung-mot-lan-tien-loi-than-thien-moi-truong,"Điểm thấp, không lưu để tránh sai ảnh. score=69; query=""Ly giấy dùng một lần 50 cái"" ảnh sản phẩm; title=Mua Set 50 Cốc giấy, ly giấy (250ml) chịu nhiệt dùng một lần tiện lợi ...; reasons=+token:giay;+brand:giay;+trusted:shopee.vn;+mid_token_ratio"
CAT008,Ống hút giấy pack 100 cái,products/ong_hut_giay_pack_100_cai.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT008,Túi zipper đựng thực phẩm 20 túi,products/tui_zipper_dung_thuc_pham_20_tui.png,DOWNLOADED,https://www.bachhoaxanh.com/mang-boc-thuc-pham-tui-zipper/tui-zipper-pe-bach-hoa-xanh-18x225cm-20-tui,"score=104; query=""Túi zipper đựng thực phẩm 20 túi"" bách hóa xanh; title=20 túi zip Bách hoá XANH 18x22.5cm giá tốt tại Bách hoá XANH; reasons=+token:tui;+token:zipper;+brand:tui;+brand:zipper;+trusted:bachhoaxanh.com;+high_token_ratio"
CAT009,Kem đánh răng P/S trà xanh 180g,products/kem_danh_rang_p_s_tra_xanh_180g.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT009,Bàn chải Oral-B mềm,products/ban_chai_oral_b_mem.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT009,Nước súc miệng Listerine 500ml,products/nuoc_suc_mieng_listerine_500ml.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT009,Dao cạo râu Gillette Blue 3,products/dao_cao_rau_gillette_blue_3.png,DOWNLOADED,https://shopee.vn/Dao-Cạo-Râu-GILLETTE-Blue-3-Comfort-(4-Cây)-i.419294093.8967139858,"score=136; query=""Dao cạo râu Gillette Blue 3"" ảnh sản phẩm; title=Dao Cạo Râu GILLETTE Blue 3 Comfort (4 Cây) | Shopee Việt Nam; reasons=+token:dao;+token:cao;+token:gillette;+token:blue;+brand:dao;+brand:cao;+brand:gillette;+trusted:shopee.vn;+high_token_ratio"
CAT009,Lăn khử mùi Nivea Men 50ml,products/lan_khu_mui_nivea_men_50ml.png,DOWNLOADED,https://www.nhathuocankhang.com/lan-xit-khu-mui/lnm-nivea-nam-kho-thoang-50ml,"score=146; query=""Lăn khử mùi Nivea Men 50ml"" ảnh sản phẩm; title=Lăn khử mùi Nivea Men Dry Impact cho nam chai 50ml - 09/2025 ...; reasons=+token:khu;+token:mui;+token:nivea;+token:men;+token:50ml;+brand:khu;+brand:mui;+brand:nivea;+trusted:cdn.tgdd.vn;+high_token_ratio"
CAT009,Dầu gội Dove phục hồi hư tổn 640g,products/dau_goi_dove_phuc_hoi_hu_ton_640g.png,DOWNLOADED,https://shopee.vn/Dầu-gội-Dove-phục-hồi-hư-tổn-640g-i.52209374.25278592996,"score=156; query=""Dầu gội Dove phục hồi hư tổn 640g"" bách hóa xanh; title=Dầu gội Dove phục hồi hư tổn 640g | Shopee Việt Nam; reasons=+token:dau;+token:dove;+token:phuc;+token:hoi;+token:ton;+token:640g;+brand:dau;+brand:dove;+brand:phuc;+trusted:shopee.vn;+high_token_ratio"
CAT009,Sữa rửa mặt Simple 150ml,products/sua_rua_mat_simple_150ml.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
CAT009,Bông tẩy trang Jomi 120 miếng,products/bong_tay_trang_jomi_120_mieng.png,EXISTING,,"Ảnh đã có, bỏ qua, không ghi đè."
